"parl_longlist","parl_shortlist"
"hon","hon"
"government",NA
"people",NA
"member","member"
"friend","friend"
"one",NA
"right",NA
"minister",NA
"can",NA
"house",NA
"mr","mr"
"members","members"
"secretary","secretary"
"state",NA
"bill","bill"
"said",NA
"time",NA
"local","local"
"many",NA
"gentleman","gentleman"
"made",NA
"must","must"
"way",NA
"per","per"
"new",NA
"now",NA
"may",NA
"make",NA
"years",NA
"cent","cent"
"us",NA
"year",NA
"public",NA
